idgeral,idpedido,idproduto,codprod,produto,material,cor,impressao,tipo_impressao,quant,preco,layout,amostra,imagem,layout_enviado,poster
7224,8991,463,,CAIXA DE SOM,NYLON E METAL,PRETA,SEM,0,5,65,0,2,,,
7225,8991,463,,LANCHEIRA TERMICA,NYLON,A DEFINIR,1XO,1,45,30,3,2,,,
7226,8991,463,,CARREGADOR,PLASTICO,PRETA,SEM,0,5,85,0,2,,,
7227,8991,463,,KIT CHURRASCO,DIVERSOS,PRETA,SEM,0,5,110,0,2,,,
7228,8993,803,,SACOLA TNT,TNT,PRETO,1x1,1,500,11.5,3,1,,,
7229,8994,1922,, Copo TÃ©rmico 500ml Com Abridor,metal,preta,1xo em branco,4,100,32,1,2,,,
7230,8994,463,,mascara olhos,nylon,preta,1xo,4,300,5,1,2,,,
7231,8994,463,,travesseiro inflavel,nylon,preta,1x0,1,300,19,1,2,,,
7232,8989,1530,,Bolsa De CosmÃ©ticos 100% AlgodÃ£o,AlgodÃ£o,Natural ,1x0,1,750,19,1,1,,,
7233,8995,463,,TABUA DE BAMBU,BAMBU,MADEIRA,1X1,2,40,80,1,1,,,
7234,8996,463,,necessaire,nylon,preta,1xo,4,145,40,1,2,,,
7235,8997,423,,Chaveiro Abridor. Cortador,METAL,PRATA,1XO,2,1500,3.8,3,1,,,
7236,8998,1018,,Mala De Viagem Bordo,ABS,CINZA,2XO,4,50,281,0,2,,,
7238,9001,1943,,Sacola De AlgodÃ£o,AlgodÃ£o,Natural,1x0,1,200,17,0,1,,,
7239,9002,1028,,Guarda-chuva Cabo Madeira,NYLON,DIVERSAS,1X1,1,56,48,1,2,,,
7240,9003,463,,BOLSA TERMICA,NYLON,PRETA,4XO,4,300,22.5,3,1,,,
7241,9004,1436,,Copo De Viagem Em Fibra De Bambu ,FIBRA,CRUA,2X0,4,250,9,0,1,,,
7242,9004,39,,MÃ¡scara Descanso Olhos,NYLON,PRETA,2X0,4,250,4.5,0,1,,,
7243,9004,985,,Fone De Ouvido,PLASTICO,BRANCA,2X0,4,250,10,0,1,,,
7244,9006,463,,BOLSA TERMICA,NYLON,CINZA E PRETA,1XO,4,25,55,3,2,,,
7245,9007,1018,,Mala De Viagem Bordo,ABS,AZUL MARINHO,4X0,4,80,302,1,1,,,
7246,9008,463,,GUARDA CHUVA INVERTIDO,NYLON,PRETO E VERDE,1X1,1,80,75,3,2,,,
7247,9010,463,,MOCHILA SPOT,NYLON,PRETO,LASER,0,100,257,3,2,,,
7248,9010,1018,,Mala De Viagem Bordo,ABS,CINZA,1XO,4,100,274,3,2,,,
7249,9010,463,,PASTA COM CARREGADOR,COURINO ,PRETA,UV- 1X1,1,30,287,3,2,,,
7250,9010,463,,GUARDA CHUVA ,NYLON,PRETO,1X1,1,50,75,3,2,,,
7251,9011,463,,POWER 10.000,METAL,PRETA e BRANCA,UV,0,600,70,1,1,,,
7252,9012,463,,05064 Bloco de AnotaÃ§Ãµes EcolÃ³gico com Caneta,,PRETO,UV 2x0,1,100,13,3,2,,,
7253,9012,463,,FY001 Porta CrachÃ¡,,BRANCO,UV 2x0,1,140,5.9,3,2,,,
7254,9013,1922,, Copo TÃ©rmico 500ml Com Abridor,metal,verde,digital,0,410,32,3,2,,,
7255,9014,91,,Canivete MultifunÃ§Ã£o,METAL,PRATA,1XO,2,300,10,1,1,,,
7256,9014,84,,Lanterna,METAL,PRETA,1XO,2,300,9,0,1,,,
7259,9015,463,,chaveiro,plastico,azul,uv,2,50,7,1,2,,,
7260,9016,463,,bolsa de praia,nylon,branca e preta,1x4,1,150,67,1,2,,,
7261,9017,862,,Guarda-Chuva ,nylon,verde,1x1,1,60,75,3,2,,,
7262,9020,462,,LÃ¡pis Com Borracha,,PRETO,UV,1,150,2.5,3,2,,,
7263,9020,462,,LÃ¡pis Com Borracha,,AZUL MARINHO,UV,1,150,2.5,3,2,,,
7264,9020,897,,ECOBAG ALGODÃO,,CRU,1x0,1,100,18,3,2,,,
7265,9020,1934,,Caderneta Capa C. SintÃ©tico,C. SintÃ©tico,VERDE,UV,1,50,14.5,3,2,,,
7266,9020,1934,,Caderneta Capa C. SintÃ©tico,93721,PRETO,UV,1,50,14.5,3,2,,,
7267,9014,421,,Chaveiro Trena,PLASTICO,PRETA,4XO,4,300,4.5,3,2,,,
7268,9014,463,,CORDAO ,NYLON,BRANCA,1X1,1,300,3.8,1,2,,,
7269,9021,463,,18639KIT,inox,VERDE,1x0,2,100,69,0,2,,,
7270,9021,1922,, Copo TÃ©rmico 500ml Com Abridor,Inox,VERDE,1x0,2,30,42,0,2,,,
7271,9023,1028,,Guarda-chuva Cabo Madeira,nylon,verde,1x1,1,50,40,1,2,,,
7273,9024,463,,copo termico,metal,preto e branco,sem,0,20,63,0,2,,,
7274,9024,463,,marmita,plastico,rosa e verde,sem,0,20,25,0,2,,,
7275,9025,463,,mochila anti furto,nylon,cinza e preto,4x0,4,61,130,3,2,,,
7276,9025,463,,fone,plastico,preto,4x0,4,5,70,3,2,,,
7277,9024,463,,BOLSA TERMICA ,NYLON,PRETA,SEM,0,20,49,0,2,,,
7278,9026,463,,POCHETE,NYLON,VERDE LIMAO,1XO,1,50,16,3,2,,,
7279,9027,974,,Pendrive Twist 16 GB,,PRETO,1x0,2,50,29.8,1,2,,,
7280,9029,463,,kit queijo,papel e madeira e metal,preto,laser e serigrafia,0,150,50,1,2,,,
7281,9029,463,,porta cartao,pu,preta,laser,3,150,17.5,1,2,,,
7282,9030,900,,NECESSAIRE ALGODÃO -   24 x 15 cm, ALGODÃO,CRU,1x0,1,200,11.5,3,2,,,
7283,9031,1743,,Caneta EsferogrÃ¡fica Em AlumÃ­nio,AlumÃ­nio,PRETO,1x0,2,44,16,3,2,,,
7284,9031,463,,91969,Estojo para caneta,PRETO,SEM,4,44,19,3,2,,,
7285,9034,463,,guarda chuva,,verde,1x1,1,75,75,1,2,,,
7286,9035,463,,squeeze tÃ©rmico ,inox,preto,1x0,2,150,29.9,1,2,,,
7287,9036,222,,Touca RN,ribana,branca,3x0,1,400,7,1,2,,,
7288,9037,463,,guarda chuva cabo de madeira,,azul,1x1,1,108,40,1,2,,,
7289,9038,463,,marmita,plastico,rosa/azul/verde/cinza,sem loho,0,50,25,0,2,,,
7290,9038,463,,fone bluetooth,plastico,preto,sem logo,0,20,60,0,2,,,
7291,9038,1359,,Mochila,nylon,preta,sem logo,0,20,70,0,2,,,
7292,9039,463,,1329P - Bolsa TÃ©rmica 7 Litros,nylon,Azul,1x0,1,200,45,3,1,,,
7293,9040,463,,1329P - Bolsa TÃ©rmica 7 Litros,Nylon,VERDE,1x0,1,50,45,3,1,,,
7294,9041,463,,1329P - Bolsa TÃ©rmica 7 Litros,Nylon,PRETO,1x0,1,300,45,3,1,,,
7295,9042,45,,Caneca Inox 180 ML  - 07392,Inox,,1x1,2,100,21.9,3,1,,,
7296,9044,463,,18695 - Garrafa PlÃ¡stica 600ml,PlÃ¡stica,VERDE,1x0,1,70,23,3,1,,,
7297,9045,45,,07392 Caneca Inox 180ml ,Inox,,1x0,2,115,18.8,1,1,,,
7298,9049,1018,,Mala De Viagem Bordo,ABS,AZUL,2X0,4,50,302,3,2,,,
7299,9051,1922,, Copo TÃ©rmico 500ml Com Abridor,METAL,VERDE,1XO,2,200,32,3,2,,,
7300,9052,1241,,Mochila Para Notebook Em Nylon,NYLON,PRETA,1XO,2,850,110,0,1,,,
7301,9053,463,,fone de ouvido ,plastico,preto,sem,0,30,55,0,2,,,
7302,9054,463,,bolsa termica,nylon,verde,2x0,1,180,195,1,1,,,
7303,9055,1922,, Copo TÃ©rmico 500ml Com Abridor,METAL,AZUL E BRANCO,DIGITAL 1X1,0,73,50,1,1,,,
7304,9056,1933,,Sacola De TNT,TNT,PRETA,1x0,1,100,7.25,1,2,,,
7305,9057,1241,,Mochila Para Notebook Em Nylon,nylon,preta e verde,sem,0,24,100,0,2,,,
7306,9058,463,,kit festa,diversos,preto e verde,1x0,1,80,87,3,2,,,
7307,9060,463,,KIT NOSSA BIBLIOTECA,DIVERSOS,CRUA,1XO,1,200,20.6,3,2,,,
7308,9061,862,,Guarda-Chuva ,NYLON,VERDE,1X1,1,30,75,3,2,,,
7309,9063,897,,ECOBAG ALGODÃO,ALGODÃO CRU,CRU,3X0,1,160,18.8,3,2,,,
7310,9064,463,,ESTOJO E CANETA,METAL,PRATA,1X1,2,215,27.6,1,2,,,
7311,9065,463,,caixa de som,metal e plastico,preta,2xo,4,150,75.47,1,2,,,
7312,9066,1018,,Mala De Viagem Bordo,ABS,VERDE,1X0,4,36,289,1,2,,,
7313,9068,463,,181PAR Conjunto Caneta E Lapiseira Metal,metal,preto,1x1x1,2,20,65,1,2,,,
7314,9068,463,,181PAR Conjunto Caneta E Lapiseira Metal,metal,Champagne,1x1x1,2,20,65,1,2,,,
7315,9068,463,,181PAR Conjunto Caneta E Lapiseira Metal,metal,Prata,1x1x1,2,20,65,1,2,,,
7316,9069,1907,,Mochila Saco Em Nylon,Nylon,VERDE,1x1,1,100,14,3,2,,,
7317,9070,900,,NECESSAIRE ALGODÃO,ALGODÃO,NATURAL,1X0,1,200,12.5,3,1,,,
7318,9070,1303,,Kit Canudos,METAL - ALGODÃO,,1X0,1,150,16,3,1,,,
7319,9070,463,, 01320 Mochila de Nylon USB 21L,NYLON,PRETO,1X0,1,20,105,3,1,,,
7320,9073,897,,ECOBAG ALGODÃO,ALGODÃO,CRU,2x0,1,200,19,3,1,,,
7321,9074,1907,,Mochila Saco Em Nylon,nylon,PRETO,1x0,1,100,12.5,3,1,,,
7322,9076,463,,AMPULHETA,VIDRO,DIVERSAS,DTF,0,100,23,0,2,,,
7323,9076,463,,BONECO MARCA TEXTO,PLASTICO,DIVERSAS ,1XO,0,100,12,0,2,,,
7324,9076,463,,MOLESKINE P,PAPEL,DIVERSAS,1XO,0,100,10,0,2,,,
7325,9076,463,,MOLESKINE M,PAPEL,DIVERSOS,1X0,0,100,14,0,2,,,
7326,9076,1196,,Caneca CerÃ¢mica ,CERAMICA,PRETA E COLORIDAS,1XO,1,150,39,0,2,,,
7327,9076,463,,CHAVEIRO COM ARGOLAS,metal,prata,1xo,2,200,8,0,2,,,
7328,9076,463,,copo de cafe com tampa colorida,fibra de bambu,diversos,1xo,4,300,8,0,2,,,
7329,9076,1922,, Copo TÃ©rmico 500ml Com Abridor,metal,preta e verde,laser,0,50,38,0,2,,,
7330,9076,897,,ECOBAG ALGODÃO,algodao,cru,1xo,0,50,16,0,2,,,
7331,9076,897,,ECOBAG ALGODÃO,algodao,cru,1xo,1,100,16,0,2,,,
7332,9076,897,,ECOBAG ALGODÃO,algodao,preta,1xo,1,100,19,0,2,,,
7333,9076,897,,ECOBAG ALGODÃO,algodao,preta,1xo,1,100,19,0,2,,,
7334,9076,803,,SACOLA TNT,TNT,PRETA,1XO,1,100,6,0,2,,,
